order_id,product_ids
1,[957]
2,"[1073, 403, 502]"
4,"[897, 502, 365, 1014]"
5,"[403, 957, 957, 365, 1014]"
7,"[957, 1073, 926]"
8,"[1014, 502, 365, 365]"
9,"[1073, 1073, 191]"
10,"[403, 917, 1073, 1073, 1014]"
11,"[365, 191, 627, 1014, 1014]"
12,"[134, 1014, 957, 191, 502]"
13,[276]
14,"[1014, 502, 1004]"
15,"[1073, 502, 1004, 365, 828]"
16,"[365, 365]"
17,"[93, 365, 810, 1073, 1014]"
18,"[403, 365, 1073]"
19,"[957, 1004]"
20,"[365, 502, 1014, 403]"
21,"[37, 502, 897, 276]"
23,[957]
24,"[403, 502, 502, 1073, 1073]"
25,[1004]
27,"[1073, 1004, 502]"
28,"[191, 191, 365, 957, 957]"
29,"[1073, 1014, 403, 403, 1004]"
30,[502]
31,[191]
33,"[403, 403, 1073, 1014]"
34,[957]
35,[403]
36,"[957, 1004, 502]"
37,"[365, 906]"
38,"[627, 502]"
39,[1073]
41,"[1014, 825]"
42,"[627, 1004, 365]"
43,"[191, 403, 957]"
44,[1004]
45,"[365, 627, 627, 924]"
46,"[403, 1014]"
48,"[1014, 886]"
49,"[403, 957, 365]"
50,"[403, 957]"
51,"[502, 1004]"
52,"[1014, 1014]"
56,"[957, 1073, 1014]"
57,"[403, 365, 365, 821]"
58,"[403, 502, 1004, 775, 1073]"
59,"[1073, 365, 365, 957]"
61,"[365, 365, 191]"
62,"[502, 957, 1004, 1004]"
63,"[1004, 1004, 1014]"
64,"[365, 502, 191, 502, 502]"
65,[957]
66,"[403, 403, 957, 365]"
67,[502]
68,[957]
69,[365]
70,"[1073, 403, 957]"
71,"[627, 365, 191]"
72,"[1073, 627, 835, 572]"
73,"[403, 191, 1014, 1014, 1014]"
74,[365]
75,"[403, 502, 1004, 502]"
77,"[1014, 191, 403, 502, 365]"
81,"[627, 1014, 403, 627]"
83,[1073]
84,"[1004, 1073, 502, 191, 627]"
87,[627]
88,"[403, 1014]"
91,"[1004, 365]"
92,[1014]
93,[778]
94,"[627, 1014, 403, 1004]"
95,[627]
96,"[403, 957, 1014]"
97,[886]
98,"[403, 502]"
99,"[1073, 1073, 502, 191]"
