product_name,product_card_id,count,quantity,price
SOLE E35 Elliptical,208,15,15,1999.98999
Dell Laptop,1351,442,442,1500.0
SOLE E25 Elliptical,60,10,10,999.9899902
Bushnell Pro X7 Jolt Slope Rangefinder,860,11,11,599.9899902
Bowflex SelectTech 1090 Dumbbells,226,10,10,599.9899902
Lawn mower,1355,484,484,532.5800171
Porcelain crafts,1353,484,484,461.480011
Web Camera,1349,592,592,452.0400085
GoPro HERO3+ Black Edition Camera,203,32,32,399.9899902
Garmin Forerunner 910XT GPS Watch,303,35,35,399.9899902
Field & Stream Sportsman 16 Gun Fire Safe,1004,17325,17325,399.980011
Children's heaters,1350,652,652,357.1000061
Pelican Maverick 100X Kayak,1059,40,40,349.9899902
Stiga Master Series ST3100 Competition Indoor,127,27,27,329.9899902
Smart watch ,1360,357,357,327.75
Total Gym 1400,364,36,36,299.9899902
Garmin Approach S4 Golf GPS Watch,845,36,36,299.9899902
Diamondback Girls' Clarity 24 Hybrid Bike 201,61,28,28,299.9899902
Diamondback Boys' Insight 24 Performance Hybr,58,29,29,299.9899902
Titleist Club Glove Travel Cover,768,34,34,299.9899902
Diamondback Women's Serene Classic Comfort Bi,957,13729,13729,299.980011
First aid kit,1356,362,362,293.0400085
Rock music,1358,434,434,260.6499939
Industrial consumer electronics,1352,431,431,252.8800049
Garmin Approach S3 Golf GPS Watch,607,77,77,249.9900055
Titleist Small Wheeled Travel Cover,773,54,54,249.9900055
Summer dresses,1363,650,650,215.8200073
Men's gala suit,1357,208,208,210.8500061
Cleveland Golf Collegiate My Custom Wedge 588,671,65,65,209.9900055
GolfBuddy VT3 GPS Watch,858,59,59,199.9900055
Nike Men's Kobe IX Elite Low Basketball Shoe,625,63,63,199.9900055
Pelican Sunstream 100 Kayak,1073,15500,15500,199.9900055
Mio ALPHA Heart Rate Monitor/Sport Watch,305,67,67,199.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,216,64,64,189.0
TaylorMade 2014 Purelite Stand Bag,786,65,65,179.9900055
Ogio Race Golf Shoes,743,61,61,169.9900055
DVDs ,1354,483,483,164.3800049
adidas Brazuca 2014 Official Match Ball,35,65,65,159.9900055
insta-bed Neverflat Air Mattress,982,60,60,149.9900055
Merrell Women's Siren Mid Waterproof Hiking B,647,70,70,134.9900055
Nike Men's CJ Elite 2 TD Football Cleat,403,22246,22246,129.9900055
TaylorMade Women's RBZ SL Rescue,715,68,68,129.9900055
Merrell Women's Grassbow Sport Waterproof Hik,652,58,58,129.9900055
Nike Men's Fingertrap Max Training Shoe,19,64,64,124.9899979
Cleveland Golf Women's 588 RTX CB Satin Chrom,705,70,70,119.9899979
Merrell Men's All Out Flash Trail Running Sho,666,85,85,109.9899979
Polar Loop Activity Tracker,311,54,54,109.9499969
LIJA Women's Button Golf Dress,725,76,76,108.0
